Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Vanuatu,VUT,64.721,67.363,69.272,69.421,69.57,69.719,69.869,70.021,70.172,70.323,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Venezuela, RB",VEN,70.658,72.112,73.11,73.037,72.918,72.762,72.584,72.405,72.246,72.128,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Vietnam,VNM,70.551,73.025,74.904,74.958,75.006,75.056,75.11,75.172,75.241,75.317,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Virgin Islands (U.S.),VIR,74.2358536585366,76.619512195122,78.4170731707317,78.6682926829268,78.8682926829268,78.9682926829268,79.1682926829268,79.2682926829268,79.419512195122,79.5682926829268,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,West Bank and Gaza,PSE,68.048,71.022,72.915,73.041,73.17,73.303,73.442,73.589,73.74,73.895,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Yemen, Rep.",YEM,57.346,60.683,65.768,65.92,66.016,66.066,66.085,66.087,66.086,66.096,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Zambia,ZMB,49.249,44,57.126,58.502,59.746,60.831,61.737,62.464,63.043,63.51,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Zimbabwe,ZWE,58.1,44.649,52.896,55.032,56.897,58.41,59.534,60.294,60.812,61.195,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Arab World,ARB,64.3515769681109,67.8005911153486,70.5287748030398,70.7038265981398,70.8822537209941,71.0642924201872,71.249571410287,71.4364968537757,71.6225263455783,71.8068251623605,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Caribbean small states,CSS,70.1976306086861,71.4191882017064,72.7952989255902,72.9118028650072,73.0301439915144,73.150583187515,73.2730179765146,73.3959578186313,73.5174910656926,73.6371089078694,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Central Europe and the Baltics,CEB,70.6563313372586,72.719724722779,75.8884748834282,75.9934886034531,76.3551629869808,76.6756236113045,76.5718777647788,76.9698114171911,76.9474653545225,76.97684517184,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Early-demographic dividend,EAR,60.4912627666257,64.4030773266109,68.4389064395394,68.8032110093045,69.145171091896,69.460924556839,69.74850615008,70.0112233924956,70.2542044834774,70.4831906811833,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,East Asia & Pacific,EAS,68.927543371687,71.1719189098708,74.2659501236743,74.5621267464985,74.8482143887022,75.1251702917927,75.392556877146,75.6355408677985,75.8659539130049,76.0683364250094,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,East Asia & Pacific (excluding high income),EAP,67.886138330096,70.1361733407827,73.3551202612119,73.645297438745,73.934377026552,74.2204720452971,74.4962276185303,74.7556141751153,74.9949516020132,75.2105121056207,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,East Asia & Pacific (IDA & IBRD countries),TEA,67.8604137857982,70.1984152544323,73.3973074723957,73.6854840044133,73.9730978646989,74.2583702425346,74.533952132112,74.7936145719037,75.0333588983101,75.2492291135899,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Euro area,EMU,75.9118078838782,78.2750703790127,81.232824849753,81.2271581727851,81.5123287264807,81.9429827672192,81.5692291055771,81.9545453308911,81.9322152288144,82.0596172798915,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe & Central Asia,ECS,72.0515824290765,73.0309450804989,76.464776622306,76.6245521118653,76.9520923170113,77.2859376807739,77.2409624490859,77.5932005039425,77.7854251970124,77.9086066864279,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe & Central Asia (excluding high income),ECA,68.0829280894722,67.3422419645467,71.2201172791059,71.5971675890401,72.0152699267667,72.2718078392738,72.595827949025,72.9488194604275,73.4127094788503,73.590781529875,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe & Central Asia (IDA & IBRD countries),TEC,68.4760664747664,68.1602814138848,71.8898031605723,72.215717635529,72.6239104357689,72.8880799579456,73.1485813758075,73.5027179350297,73.8945964702111,74.0376029005072,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,European Union,EUU,74.7306624161888,77.0784478034954,80.1377728776197,80.1568881522259,80.4637409328603,80.8704475779471,80.5668071425711,80.9498646440156,80.9306588411386,81.0344092172663,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Fragile and conflict affected situations,FCS,52.979732179109,54.5691988224672,59.0107962617556,59.4092775804744,59.8023378791028,60.1842051768087,60.5480151961722,60.8886235126942,61.2047490220343,61.4999995849382,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Heavily indebted poor countries (HIPC),HPC,49.9368486625317,52.264099761783,59.5288710154522,60.1665646307852,60.7703339959901,61.3343128170965,61.8529532354614,62.3232892974951,62.7486826008412,63.1350064011699,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,High income,HIC,75.2879686143832,77.4493442982228,79.954717556123,80.0734334909207,80.2602326820175,80.5125452443597,80.391986863666,80.5408514007047,80.5854654535001,80.6561046818993,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IBRD only,IBD,65.4295268332731,68.0530503278295,71.5104971147576,71.8275964836361,72.1415647408972,72.4279632479225,72.6963087382973,72.9546841404151,73.2000794205935,73.4048767291993,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IDA & IBRD total,IBT,63.1474167395772,65.4907724673063,69.1275451074778,69.458161084275,69.7817991533989,70.0791243989198,70.3562541548151,70.6186429022967,70.8640150181123,71.0717380418743,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IDA blend,IDB,55.0198821338575,55.1935386979407,59.6646276631186,60.0932703486034,60.5042020892249,60.8937132685901,61.2562791835338,61.5879257088794,61.8890407820717,62.1617501399529,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IDA only,IDX,52.9729285018984,56.426405658978,62.4219994303495,62.9111667328055,63.3765425029912,63.8175928308547,64.2316666982749,64.6166150425703,64.973033605933,65.3040915219653,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IDA total,IDA,53.6569178674783,56.0146033205108,61.4996817161508,61.9676161333696,62.4137316197094,62.8365261561631,63.2325064835461,63.5989751075511,63.9364760787108,64.2478004723441,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Late-demographic dividend,LTE,69.0643651090128,70.9039654322496,74.319521503154,74.60987609895,74.9167918238899,75.1994821138214,75.4712131372615,75.7455776393646,76.0141569733808,76.2244436790799,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & Caribbean,LCN,68.3137257077415,71.6873951019976,74.2831440288746,74.4614863833465,74.6328264324464,74.7990653339069,74.9617221364716,75.1220681338748,75.2821586285393,75.4409477532745,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & Caribbean (excluding high income),LAC,68.0316813029416,71.4624243794755,74.0801930541753,74.2591928446468,74.4311538246578,74.5983514326598,74.7621985660344,74.9237930776766,75.0852306959688,75.246114048204,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & the Caribbean (IDA & IBRD countries),TLA,68.1004185731093,71.5343568238104,74.172971208757,74.3552629715921,74.5302394746185,74.700174548083,74.8665592558851,75.0305805363335,75.194339577718,75.3574154976003,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Least developed countries: UN classification,LDC,51.7327278009609,55.4797861499948,61.9674251208304,62.5153454782561,63.0304963507827,63.5090606514635,63.9477769645535,64.3457714393416,64.7077302181912,65.0396241212957,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Low & middle income,LMY,63.0466767713972,65.3750003142744,69.0378535892432,69.3728660598609,69.6972507365473,69.9952542477254,70.277205710712,70.5390411108938,70.7878448456576,70.9988194769754,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Low income,LIC,50.839806218602,53.5784738045263,60.4345736154537,60.9544299738273,61.4471443122176,61.9129460235598,62.3505613015469,62.7586367116496,63.1388930063391,63.4963387504082,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lower middle income,LMC,58.9179528307978,62.1035417260956,66.3034947836785,66.6775633003605,67.0316597699701,67.3588283079263,67.6589221772166,67.9371208628659,68.1932685252092,68.4224690868156,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Middle East & North Africa,MEA,65.7699851791747,69.8872564913178,72.7374938721342,72.9316561918317,73.1323793117079,73.3264170376357,73.5148448538059,73.7108202619547,73.899908278351,74.0889092566827,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Middle East & North Africa (excluding high income),MNA,65.1362874573978,69.3546938483384,72.2108686110226,72.4050204424726,72.6023090402716,72.8011524598997,73.0002961166457,73.1982110954199,73.3942702537245,73.5873582148883,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Middle East & North Africa (IDA & IBRD countries),TMN,65.1106049656442,69.3370640608061,72.2027053606113,72.3975980989268,72.5956438317179,72.7952270760874,72.9950526148397,73.1935470729551,73.3901310655417,73.5836428053412,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Middle income,MIC,63.9865219699882,66.4028734575064,69.9275491787455,70.255522114217,70.5739768879111,70.8658431654597,71.1429274428841,71.4008641765944,71.6473750526837,71.8546257820263,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,NAC,75.4350452733174,76.8819963377772,78.9205803713592,79.0315168165907,79.0422667393637,79.1381544431363,79.0122080964003,78.8774577897405,78.8841342856085,78.8868905457275,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,OECD members,OED,74.5418330972711,76.9255179253325,79.3815485584991,79.4985934071063,79.6635382634932,79.9137747178065,79.8122468683952,79.9612388983056,80.0063145665596,80.0775295859723,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Other small states,OSS,62.223318819513,60.2452667610209,65.0206419539647,65.7194602207097,66.3331387904233,66.8911850747,67.405236123087,67.83562940085,68.2287591673445,68.5469317038401,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Pacific island small states,PSS,65.0972767481586,66.5571854817133,68.6829937312281,68.8819826450894,69.0773769684605,69.2655319303293,69.4444587743698,69.6137419308888,69.7742837809553,69.929057966298,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Post-demographic dividend,PST,75.4794675598814,77.3556439342974,79.9528823830525,80.0866897518607,80.2680142510718,80.5272112961998,80.3949800130771,80.5492211497747,80.5984414719389,80.6598920018751,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Pre-demographic dividend,PRE,49.7193538611957,50.6737758062021,57.2241555049088,57.8355553453182,58.4260174117443,58.987778967973,59.5119589254375,59.9919371242937,60.427466911492,60.8209562953764,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Small states,SST,64.2975141841354,63.1110426639532,66.7456676113969,67.2839496356347,67.7650584301434,68.2053781929859,68.6140103387538,68.9604624233804,69.2790750088796,69.5411324592597,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Asia,SAS,58.1448009852359,62.8239827828773,67.2583178427737,67.6463399602528,68.0077190249383,68.3402062592725,68.6419006832955,68.9161514390397,69.1713119009688,69.4122476461494,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Asia (IDA & IBRD),TSA,58.1448009852359,62.8239827828774,67.2583178427737,67.6463399602528,68.0077190249383,68.3402062592725,68.6419006832955,68.9161514390397,69.1713119009688,69.4122476461494,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sub-Saharan Africa,SSF,50.2145741806774,50.4502140085527,57.4560025475248,58.1495795385572,58.8013898931051,59.4047999444643,59.9528305490993,60.44238733816,60.8800023700024,61.2730146485793,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sub-Saharan Africa (excluding high income),SSA,50.1721565432253,50.4095717897462,57.4322989748608,58.1264901704777,58.779685178581,59.3842216759185,59.9331929514269,60.4238384716512,60.8623356410946,61.2565331327445,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sub-Saharan Africa (IDA & IBRD countries),TSS,50.2145741806774,50.4502140085527,57.4560025475248,58.1495795385572,58.8013898931051,59.4047999444643,59.9528305490993,60.44238733816,60.8800023700024,61.2730146485793,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Upper middle income,UMC,68.0997415973211,70.1779409429037,73.4223056288206,73.7306245713766,74.0384674919012,74.319186729728,74.5972439335799,74.8583859892153,75.1185011017659,75.3289849763003,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,World,WLD,65.4334071014792,67.5492493860582,70.8840681447193,71.1716493714594,71.4621521177806,71.7422781702121,71.9474029191807,72.1807606182002,72.3855806225257,72.5632818899911,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,..,..,591.162759035926,641.871479157538,637.165523187024,613.856689167623,578.466352941708,509.218661332126,519.884773089339,493.750418116312,507.103431871987,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,617.230435515505,1126.68331762741,4437.14288515077,4247.62998374252,4413.06086120676,4578.6319939825,3952.80121524465,4124.05572595352,4531.02080555986,5284.38018438156,5353.2448564014,..
